Unnamed: 0,surfactant,nanoparticle,concentration,run_id,bd_row_idx,bd_t [s],bd_BC [mm?²],bd_M?B?A? [µm²],bd_SD M?B?A? [µm²],bd_R_avg [Âµm],bd_Ravg [µm],bd_R21 [µm],bd_R32 [µm],bd_v,bd_w,hd_t [s],hd_h_foam [mm],hd_h_liquid [mm],hd_h_total [mm],hd_V_foam [mL],hd_V_liquid [mL],hd_V_total [mL],hd_FVS [%],hd_FLS [%],hd_T [°C],frame_path
4337,Bioterg i wt.%,MnO2,0.0125,1,57,349.93,0.396,,,,,,,1.0,-1.0,349.99,,,,,,,66.5,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_120.png
4338,Bioterg i wt.%,MnO2,0.0125,1,58,354.93,0.41,,,,,,,1.0,-1.0,354.99,,,,,,,65.9,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_121.png
4339,Bioterg i wt.%,MnO2,0.0125,1,59,359.93,0.424,,,,,,,1.0,0.0,359.99,,,,,,,64.9,45.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_122.png
4340,Bioterg i wt.%,MnO2,0.0125,1,60,364.93,0.452,,,,,,,1.0,0.0,364.99,,,,,,,64.6,45.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_123.png
4341,Bioterg i wt.%,MnO2,0.0125,1,61,369.93,0.462,,,,,,,1.0,0.0,369.99,,,,,,,64.1,45.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_124.png
4342,Bioterg i wt.%,MnO2,0.0125,1,62,374.93,0.519,,,,,,,1.0,-1.0,374.99,,,,,,,63.7,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_125.png
4343,Bioterg i wt.%,MnO2,0.0125,1,63,379.93,0.455,,,,,,,0.0,-1.0,379.99,,,,,,,63.5,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_126.png
4344,Bioterg i wt.%,MnO2,0.0125,1,64,384.93,0.412,,,,,,,1.0,-1.0,384.99,,,,,,,62.9,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_127.png
4345,Bioterg i wt.%,MnO2,0.0125,1,65,389.93,0.414,,,,,,,1.0,-1.0,389.99,,,,,,,62.1,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_128.png
4346,Bioterg i wt.%,MnO2,0.0125,1,66,394.93,0.324,,,,,,,0.0,-1.0,394.99,,,,,,,61.5,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_129.png
4347,Bioterg i wt.%,MnO2,0.0125,1,67,399.93,0.327,,,,,,,0.0,-1.0,399.99,,,,,,,61.0,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_130.png
4348,Bioterg i wt.%,MnO2,0.0125,1,68,404.93,0.345,,,,,,,0.0,-1.0,404.99,,,,,,,60.4,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_131.png
4349,Bioterg i wt.%,MnO2,0.0125,1,69,409.93,0.325,,,,,,,0.0,0.0,409.99,,,,,,,59.9,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_132.png
4350,Bioterg i wt.%,MnO2,0.0125,1,70,414.93,0.336,,,,,,,0.0,-1.0,414.99,,,,,,,59.3,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_133.png
4351,Bioterg i wt.%,MnO2,0.0125,1,71,419.93,0.316,,,,,,,0.0,0.0,419.99,,,,,,,59.0,49.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_134.png
4352,Bioterg i wt.%,MnO2,0.0125,1,72,424.93,0.315,,,,,,,0.0,-1.0,424.99,,,,,,,58.7,51.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_135.png
4353,Bioterg i wt.%,MnO2,0.0125,1,73,429.93,0.326,,,,,,,0.0,-1.0,429.99,,,,,,,58.5,51.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_136.png
4354,Bioterg i wt.%,MnO2,0.0125,1,74,434.93,0.315,,,,,,,0.0,-1.0,434.99,,,,,,,57.8,51.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_137.png
4355,Bioterg i wt.%,MnO2,0.0125,1,75,439.93,0.312,,,,,,,0.0,-1.0,439.99,,,,,,,57.5,51.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_138.png
4356,Bioterg i wt.%,MnO2,0.0125,1,76,444.93,0.286,,,,,,,0.0,-1.0,444.99,,,,,,,57.2,51.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_139.png
4357,Bioterg i wt.%,MnO2,0.0125,1,77,449.93,0.302,,,,,,,0.0,-1.0,449.99,,,,,,,56.4,49.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_140.png
4358,Bioterg i wt.%,MnO2,0.0125,1,78,454.93,0.341,,,,,,,1.0,-1.0,454.99,,,,,,,56.1,49.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_141.png
4359,Bioterg i wt.%,MnO2,0.0125,1,79,459.93,0.322,,,,,,,1.0,-1.0,459.99,,,,,,,55.4,49.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_142.png
4360,Bioterg i wt.%,MnO2,0.0125,1,80,464.93,0.34,,,,,,,0.0,-1.0,464.99,,,,,,,54.6,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_143.png
4361,Bioterg i wt.%,MnO2,0.0125,1,81,469.93,0.35,,,,,,,0.0,-1.0,469.99,,,,,,,53.9,45.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_144.png
4362,Bioterg i wt.%,MnO2,0.0125,1,82,474.93,0.332,,,,,,,0.0,-1.0,474.99,,,,,,,53.5,43.9,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_145.png
4363,Bioterg i wt.%,MnO2,0.0125,1,83,479.93,0.299,,,,,,,1.0,-1.0,479.99,,,,,,,53.2,40.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_146.png
4364,Bioterg i wt.%,MnO2,0.0125,1,84,484.93,0.287,,,,,,,0.0,-1.0,484.99,,,,,,,52.7,38.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_147.png
4365,Bioterg i wt.%,MnO2,0.0125,1,85,489.93,0.317,,,,,,,1.0,-1.0,489.99,,,,,,,51.7,36.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_148.png
4366,Bioterg i wt.%,MnO2,0.0125,1,86,494.93,0.274,,,,,,,0.0,-2.0,494.99,,,,,,,50.9,34.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_149.png
4367,Bioterg i wt.%,MnO2,0.0125,1,87,499.93,0.28,,,,,,,0.0,-1.0,499.99,,,,,,,50.6,34.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_150.png
4368,Bioterg i wt.%,MnO2,0.0125,1,88,504.93,0.31,,,,,,,1.0,-1.0,504.99,,,,,,,50.0,34.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_151.png
4369,Bioterg i wt.%,MnO2,0.0125,1,89,509.93,0.339,,,,,,,1.0,0.0,509.99,,,,,,,49.2,34.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_152.png
4370,Bioterg i wt.%,MnO2,0.0125,1,90,514.93,0.456,,,,,,,2.0,4.0,514.99,,,,,,,48.9,36.2,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_153.png
4371,Bioterg i wt.%,MnO2,0.0125,1,91,519.93,0.46,,,,,,,2.0,5.0,519.99,,,,,,,48.7,38.1,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_154.png
4372,Bioterg i wt.%,MnO2,0.0125,1,92,524.93,0.475,,,,,,,2.0,5.0,524.99,,,,,,,48.5,40.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_155.png
4373,Bioterg i wt.%,MnO2,0.0125,1,93,529.93,0.504,,,,,,,2.0,5.0,529.99,,,,,,,47.9,42.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_156.png
4374,Bioterg i wt.%,MnO2,0.0125,1,94,534.93,0.518,,,,,,,2.0,5.0,534.99,,,,,,,47.6,42.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_157.png
4375,Bioterg i wt.%,MnO2,0.0125,1,95,539.93,0.44,,,,,,,1.0,0.0,539.99,,,,,,,47.1,42.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_158.png
4376,Bioterg i wt.%,MnO2,0.0125,1,96,544.93,0.52,,,,,,,1.0,1.0,544.99,,,,,,,46.9,42.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_159.png
4377,Bioterg i wt.%,MnO2,0.0125,1,97,549.93,0.482,,,,,,,1.0,1.0,549.99,,,,,,,46.8,42.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_160.png
4378,Bioterg i wt.%,MnO2,0.0125,1,98,554.93,0.628,,,,,,,2.0,6.0,554.99,,,,,,,46.1,42.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_161.png
4379,Bioterg i wt.%,MnO2,0.0125,1,99,559.93,0.588,,,,,,,2.0,6.0,559.99,,,,,,,45.5,42.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_162.png
4380,Bioterg i wt.%,MnO2,0.0125,1,100,564.93,0.526,,,,,,,2.0,1.0,564.99,,,,,,,45.1,42.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_163.png
4381,Bioterg i wt.%,MnO2,0.0125,1,101,569.93,0.391,,,,,,,1.0,-1.0,569.99,,,,,,,44.5,42.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_164.png
4382,Bioterg i wt.%,MnO2,0.0125,1,102,574.93,0.425,,,,,,,1.0,-1.0,574.99,,,,,,,44.3,42.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_165.png
4383,Bioterg i wt.%,MnO2,0.0125,1,103,579.93,0.436,,,,,,,1.0,-1.0,579.99,,,,,,,44.1,42.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_166.png
4384,Bioterg i wt.%,MnO2,0.0125,1,104,584.93,0.526,,,,,,,1.0,1.0,584.99,,,,,,,43.9,42.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_167.png
4385,Bioterg i wt.%,MnO2,0.0125,1,105,589.93,0.479,,,,,,,1.0,-1.0,589.99,,,,,,,43.3,40.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_168.png
4386,Bioterg i wt.%,MnO2,0.0125,1,106,594.93,0.451,,,,,,,1.0,-1.0,594.99,,,,,,,43.0,40.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_169.png
4387,Bioterg i wt.%,MnO2,0.0125,1,107,599.93,0.431,,,,,,,1.0,-1.0,599.99,,,,,,,42.6,40.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_170.png
4388,Bioterg i wt.%,MnO2,0.0125,1,108,604.93,0.418,,,,,,,1.0,-1.0,604.99,,,,,,,42.3,40.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_171.png
4389,Bioterg i wt.%,MnO2,0.0125,1,109,609.93,0.433,,,,,,,1.0,-1.0,609.99,,,,,,,42.2,42.0,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_172.png
4390,Bioterg i wt.%,MnO2,0.0125,1,110,614.93,0.333,,,,,,,0.0,-1.0,614.99,,,,,,,40.6,43.9,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_173.png
4391,Bioterg i wt.%,MnO2,0.0125,1,111,619.93,0.383,,,,,,,1.0,-1.0,619.99,,,,,,,40.3,45.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_174.png
4392,Bioterg i wt.%,MnO2,0.0125,1,112,624.93,0.331,,,,,,,1.0,-1.0,624.99,,,,,,,40.1,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_175.png
4393,Bioterg i wt.%,MnO2,0.0125,1,113,629.93,0.399,,,,,,,1.0,-1.0,629.99,,,,,,,40.1,49.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_176.png
4394,Bioterg i wt.%,MnO2,0.0125,1,114,634.93,0.387,,,,,,,0.0,-1.0,634.99,,,,,,,39.6,49.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_177.png
4395,Bioterg i wt.%,MnO2,0.0125,1,115,639.93,0.347,,,,,,,1.0,0.0,639.99,,,,,,,39.3,51.6,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_178.png
4396,Bioterg i wt.%,MnO2,0.0125,1,116,644.93,0.393,,,,,,,0.0,-1.0,644.99,,,,,,,39.0,49.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_179.png
4397,Bioterg i wt.%,MnO2,0.0125,1,117,649.93,0.314,,,,,,,0.0,0.0,649.99,,,,,,,38.1,49.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_180.png
4398,Bioterg i wt.%,MnO2,0.0125,1,118,654.93,0.31,,,,,,,0.0,-1.0,654.99,,,,,,,37.9,49.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_181.png
4399,Bioterg i wt.%,MnO2,0.0125,1,119,659.93,0.305,,,,,,,1.0,-1.0,659.99,,,,,,,37.7,49.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_182.png
4400,Bioterg i wt.%,MnO2,0.0125,1,120,664.93,0.329,,,,,,,0.0,-1.0,664.99,,,,,,,37.4,49.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_183.png
4401,Bioterg i wt.%,MnO2,0.0125,1,121,669.93,0.37,,,,,,,1.0,0.0,669.99,,,,,,,36.7,49.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_184.png
4402,Bioterg i wt.%,MnO2,0.0125,1,122,674.93,0.371,,,,,,,0.0,-1.0,674.99,,,,,,,36.1,49.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_185.png
4403,Bioterg i wt.%,MnO2,0.0125,1,123,679.93,0.35,,,,,,,1.0,-1.0,679.99,,,,,,,35.7,49.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_186.png
4404,Bioterg i wt.%,MnO2,0.0125,1,124,684.93,0.338,,,,,,,0.0,-1.0,684.99,,,,,,,35.4,49.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_187.png
4405,Bioterg i wt.%,MnO2,0.0125,1,125,689.93,0.366,,,,,,,1.0,-1.0,689.99,,,,,,,34.6,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_188.png
4406,Bioterg i wt.%,MnO2,0.0125,1,126,694.93,0.339,,,,,,,0.0,-1.0,694.99,,,,,,,34.5,49.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_189.png
4407,Bioterg i wt.%,MnO2,0.0125,1,127,699.93,0.37,,,,,,,1.0,-1.0,699.99,,,,,,,34.3,49.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_190.png
4408,Bioterg i wt.%,MnO2,0.0125,1,128,704.93,0.344,,,,,,,1.0,-1.0,704.99,,,,,,,34.1,49.7,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_191.png
4409,Bioterg i wt.%,MnO2,0.0125,1,129,709.93,0.375,,,,,,,1.0,-1.0,709.99,,,,,,,33.8,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_192.png
4410,Bioterg i wt.%,MnO2,0.0125,1,130,714.93,0.37,,,,,,,1.0,-1.0,714.99,,,,,,,33.4,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_193.png
4411,Bioterg i wt.%,MnO2,0.0125,1,131,719.93,0.381,,,,,,,1.0,-1.0,719.99,,,,,,,32.9,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_194.png
4412,Bioterg i wt.%,MnO2,0.0125,1,132,724.93,0.407,,,,,,,1.0,-1.0,724.99,,,,,,,32.3,45.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_195.png
4413,Bioterg i wt.%,MnO2,0.0125,1,133,729.93,0.411,,,,,,,1.0,-1.0,729.99,,,,,,,32.2,45.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_196.png
4414,Bioterg i wt.%,MnO2,0.0125,1,134,734.93,0.428,,,,,,,1.0,0.0,734.99,,,,,,,30.1,45.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_197.png
4415,Bioterg i wt.%,MnO2,0.0125,1,135,739.93,0.433,,,,,,,1.0,0.0,739.99,,,,,,,29.7,45.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_198.png
4416,Bioterg i wt.%,MnO2,0.0125,1,136,744.93,0.413,,,,,,,1.0,-1.0,744.99,,,,,,,29.6,45.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_199.png
4417,Bioterg i wt.%,MnO2,0.0125,1,137,749.93,0.464,,,,,,,0.0,-1.0,749.99,,,,,,,29.4,45.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_200.png
4418,Bioterg i wt.%,MnO2,0.0125,1,138,754.93,0.543,,,,,,,1.0,0.0,754.99,,,,,,,29.3,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_201.png
4419,Bioterg i wt.%,MnO2,0.0125,1,139,759.93,0.543,,,,,,,1.0,0.0,759.99,,,,,,,29.0,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_202.png
4420,Bioterg i wt.%,MnO2,0.0125,1,140,764.93,0.528,,,,,,,1.0,0.0,764.99,,,,,,,29.0,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_203.png
4421,Bioterg i wt.%,MnO2,0.0125,1,141,769.93,0.563,,,,,,,1.0,0.0,769.99,,,,,,,29.0,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_204.png
4422,Bioterg i wt.%,MnO2,0.0125,1,142,774.93,0.552,,,,,,,1.0,1.0,774.99,,,,,,,28.9,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_205.png
4423,Bioterg i wt.%,MnO2,0.0125,1,143,779.93,0.531,,,,,,,1.0,0.0,779.99,,,,,,,28.6,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_206.png
4424,Bioterg i wt.%,MnO2,0.0125,1,144,784.93,0.503,,,,,,,1.0,0.0,784.99,,,,,,,27.6,47.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_207.png
4425,Bioterg i wt.%,MnO2,0.0125,1,145,789.93,0.571,,,,,,,1.0,0.0,789.99,,,,,,,27.4,45.8,,C:/Users/User/Desktop/AISCIA/task3/AISCIA_task3/Clean Data for Dr. Fadwa/Bioterg i wt.%\MnO2\0.0125\1\extracted_frames\frame_208.png
